island,year,gdp_share
Sumatra,2010,22.385300317842038
Sumatra,2011,22.392558623215212
Sumatra,2012,22.30589082643117
Sumatra,2013,22.144689795703673
Sumatra,2014,22.01592233573841
Sumatra,2015,21.71011906399127
Sumatra,2016,21.528787422459487
Sumatra,2017,21.335980575431556
Sumatra,2018,21.15322153791447
Sumatra,2019,21.06590239039601
Sumatra,2020,21.24308238136019
Java,2010,57.28162440686925
Java,2011,57.39666230073788
Java,2012,57.50978339300094
Java,2013,57.6731729881879
Java,2014,57.87246411827178
Java,2015,58.138945774708986
Java,2016,58.383170713841324
Java,2017,58.60306748444308
Java,2018,58.75239048880061
Java,2019,59.03029031707413
Java,2020,58.737139638210856
Bali & Nusa Tenggara,2010,3.0261459185397537
Bali & Nusa Tenggara,2011,2.9327219783673293
Bali & Nusa Tenggara,2012,2.8717893752596257
Bali & Nusa Tenggara,2013,2.878217152891398
Bali & Nusa Tenggara,2014,2.8972461587147373
Bali & Nusa Tenggara,2015,3.046941237741429
Bali & Nusa Tenggara,2016,3.068784843787858
Bali & Nusa Tenggara,2017,3.0241133569353513
Bali & Nusa Tenggara,2018,2.945138964938975
Bali & Nusa Tenggara,2019,2.9462344051531306
Bali & Nusa Tenggara,2020,2.85634805925344
Kalimantan,2010,9.41289227082391
Kalimantan,2011,9.438933835608896
Kalimantan,2012,9.399888196231593
Kalimantan,2013,9.242882049213225
Kalimantan,2014,9.081559112949108
Kalimantan,2015,8.768716386113573
Kalimantan,2016,8.505209580178251
Kalimantan,2017,8.433745274415607
Kalimantan,2018,8.306991522037585
Kalimantan,2019,8.30682583181639
Kalimantan,2020,8.285803711232962
Sulawesi,2010,5.1903840320136005
Sulawesi,2011,5.306724343589022
Sulawesi,2012,5.450914654967642
Sulawesi,2013,5.552757362028531
Sulawesi,2014,5.640517366595768
Sulawesi,2015,5.812379985161116
Sulawesi,2016,5.937129616069728
Sulawesi,2017,6.034355052840146
Sulawesi,2018,6.235733892917737
Sulawesi,2019,6.3526418216659515
Sulawesi,2020,6.498423582342718
Maluku & Papua,2010,2.703653053765759
Maluku & Papua,2011,2.5323989184816598
Maluku & Papua,2012,2.4617335541090344
Maluku & Papua,2013,2.508280652342116
Maluku & Papua,2014,2.4922909073815034
Maluku & Papua,2015,2.5228975526157473
Maluku & Papua,2016,2.576917823768619
Maluku & Papua,2017,2.5687382560343113
Maluku & Papua,2018,2.606523593295731
Maluku & Papua,2019,2.298105233894384
Maluku & Papua,2020,2.3792026276920875
