province,payment,term
Aceh,853775.4,14.12
North Sumatra,2021410.32,13.83
West Sumatra,790714.57,13.64
Riau,2356089.05,12.06
Jambi,1888042.35,12.82
South Sumatra,1209343.76,12.61
Bengkulu,1339079.18,12.6
Lampung,2253235.06,13.8
Bangka Belitung Islands,1030000,11.98
Riau Islands,3055107.18,10.66
DKI Jakarta,6000000,10.64
West Java,1831254.03,12.84
Central Java,1773847.4,12.54
DI Yogyakarta,5601834.86,9.19
East Java,2255267.23,11.85
Banten,927248.55,13.69
Bali,3705842.11,10.15
West Nusa Tenggara,NA,10
East Nusa Tenggara,1373735.73,19.91
West Kalimantan,3096600.45,12.23
Central Kalimantan,1051065.6,12.9
South Kalimantan,1370361.85,12.29
East Kalimantan,1512842.42,13.88
North Kalimantan,3500000,10
North Sulawesi,683905.33,13.98
Central Sulawesi,744959.04,13.92
South Sulawesi,957722.67,12.79
Southeast Sulawesi,1132973.17,12.34
Gorontalo,931781.4,12.68
West Sulawesi,699019.9,15.29
Maluku,NA,13.87
North Maluku,NA,NA
West Papua,2500000,10
Papua,2012912.23,14.52
Indonesia,1716271.3,12.67
