province,date,mobility_province_7day_moving_average,cases_per_million_people
Aceh,2021-08-08,2.5714285714285716,4778.864534808188
Bali,2021-08-08,-42.42857142857143,20077.020659659298
Bangka Belitung Islands,2021-08-08,-12,26892.094162471087
Banten,2021-08-08,-5.285714285714286,9450.03218226796
Bengkulu,2021-08-08,6.714285714285714,10278.79456450885
Central Java,2021-08-08,-5.571428571428571,12203.136604660001
Central Kalimantan,2021-08-08,-5.571428571428571,14094.479395450991
Central Sulawesi,2021-08-08,6.285714285714286,10037.31706525619
East Java,2021-08-08,-13.714285714285714,8580.76028821776
East Kalimantan,2021-08-08,-15,36517.31383196442
East Nusa Tenggara,2021-08-08,-5,8990.09685493525
Gorontalo,2021-08-08,18.714285714285715,8114.304981876423
Jakarta,2021-08-08,-34.714285714285715,78822.09447449037
Jambi,2021-08-08,-4.714285714285714,6474.945896454137
Lampung,2021-08-08,-7.285714285714286,4722.547687116277
Maluku,2021-08-08,-8.571428571428571,7782.440825919087
North Kalimantan,2021-08-08,-8.142857142857142,36753.246753246756
North Maluku,2021-08-08,-2.4285714285714284,8733.530304240197
North Sulawesi,2021-08-08,-13.571428571428571,11125.392972263122
North Sumatra,2021-08-08,-12.142857142857142,5043.856092550546
Papua,2021-08-08,-11.285714285714286,8586.83799475406
Riau,2021-08-08,-7.142857142857143,15798.854873978595
Riau Islands,2021-08-08,-24.142857142857142,21131.84672006928
Southeast Sulawesi,2021-08-08,6.857142857142857,6680.969114111337
South Kalimantan,2021-08-08,-3.5714285714285716,12944.759405894203
South Sulawesi,2021-08-08,-8.285714285714286,10476.442264422643
South Sumatra,2021-08-08,-8.857142857142858,6124.895358571297
Yogyakarta,2021-08-08,-24.142857142857142,33655.08266993264
West Java,2021-08-08,-13.857142857142858,12984.251047105632
West Kalimantan,2021-08-08,-16.857142857142858,5798.938274990695
West Nusa Tenggara,2021-08-08,-3.5714285714285716,4212.097437761917
West Papua,2021-08-08,-11.428571428571429,20937.11967545639
West Sulawesi,2021-08-08,8.857142857142858,6992.235686815181
West Sumatra,2021-08-08,2.5714285714285716,14236.43543646429
