year,hdi,phdi
1990,0.523,0.5150729446834766
1991,0.529,0.5196733089961244
1992,0.534,0.5244401781517586
1993,0.541,0.5308695391501428
1994,0.55,0.5392383721743808
1995,0.56,0.5489581367450366
1996,0.573,0.5607120274460133
1997,0.587,0.5740583148948527
1998,0.586,0.5764747180120253
1999,0.594,0.5832084301141209
2000,0.603,0.5916856483231543
2001,0.609,0.5965851436921157
2002,0.615,0.6016255629882847
2003,0.622,0.6077122276031879
2004,0.628,0.6131759013074611
2005,0.632,0.6167599359887327
2006,0.642,0.6263834916274184
2007,0.643,0.6265543507579899
2008,0.647,0.6294734588170925
2009,0.658,0.6396090275965881
2010,0.665,0.6458968415740467
2011,0.673,0.6517310156223936
2012,0.681,0.6586903713887722
2013,0.687,0.6665469346082471
2014,0.69,0.6702621095732398
2015,0.695,0.6733271094869285
2016,0.703,0.6797598162162461
2017,0.707,0.6842241819386488
2018,0.712,0.6883112345319801
2019,0.718,0.6934556252169319
