sector,date,worker_share
Wholesale and retail trade; repair of motor vehicles and motorcycles,2021-08-01,39.81394208800988
Transportation and storage,2021-08-01,8.421370793921977
Accommodation and food service activities,2021-08-01,14.202050158638604
Information and communication,2021-08-01,1.54422083128761
Financial and insurance activities,2021-08-01,2.471815505060113
Real estate activities,2021-08-01,0.550664873438043
"Professional, scientific and technical activities",2021-08-01,3.1204229380976445
Public administration and defence; compulsory social security,2021-08-01,7.501405958628485
Education,2021-08-01,10.042593898180547
Human health and social work activities,2021-08-01,3.399281777252373
Other services,2021-08-01,8.932231177484724
